intitule_fin_corpus,categorie_id,categorie_nom,nb_questions
Action corrective,audits_conformity,Audits & conformité,2
Action préventive,audits_conformity,Audits & conformité,2
Amélioration,audits_conformity,Audits & conformité,2
Amélioration continue,audits_conformity,Audits & conformité,1
Analyse des données,audits_conformity,Audits & conformité,3
Certificats ON,audits_conformity,Audits & conformité,1
Conformity assessment,audits_conformity,Audits & conformité,2
Conformity assessment IVDR,audits_conformity,Audits & conformité,2
Déclaration UE conformité IVDR,audits_conformity,Audits & conformité,2
Déclaration UE de conformité,audits_conformity,Audits & conformité,2
Examen type UE IVDR,audits_conformity,Audits & conformité,1
Intervention ON,audits_conformity,Audits & conformité,1
Marquage CE,audits_conformity,Audits & conformité,2
Marquage CE IVDR,audits_conformity,Audits & conformité,2
"Measurement, Analysis and Improvement",audits_conformity,Audits & conformité,12
NC Grading,audits_conformity,Audits & conformité,1
Non-conformité et action corrective,audits_conformity,Audits & conformité,2
Ressources de surveillance et mesure,audits_conformity,Audits & conformité,1
Revue de direction,audits_conformity,Audits & conformité,4
Surveillance et mesure,audits_conformity,Audits & conformité,2
Évaluation conformité SMQ,audits_conformity,Audits & conformité,2
Évaluation conformité SMQ IVDR,audits_conformity,Audits & conformité,2
Carte implant,design_dev,Conception & développement,1
Conception et développement,design_dev,Conception & développement,3
Design and Development,design_dev,Conception & développement,15
Design change→submission,design_dev,Conception & développement,2
Dispositifs stériles,design_dev,Conception & développement,3
Dispositifs sur mesure,design_dev,Conception & développement,1
Documentation performance,design_dev,Conception & développement,3
Dossier conception,design_dev,Conception & développement,2
Entrées conception,design_dev,Conception & développement,2
Exigences produit,design_dev,Conception & développement,1
GSPR conception/fabrication,design_dev,Conception & développement,2
GSPR performance/conception IVD,design_dev,Conception & développement,3
Investigations cliniques,design_dev,Conception & développement,3
Modifications conception,design_dev,Conception & développement,2
Performance evaluation,design_dev,Conception & développement,3
Planification conception,design_dev,Conception & développement,2
Revue exigences,design_dev,Conception & développement,1
Revues conception,design_dev,Conception & développement,2
Réalisation produit,design_dev,Conception & développement,3
SSCP,design_dev,Conception & développement,3
Sorties conception,design_dev,Conception & développement,2
Systèmes et nécessaires,design_dev,Conception & développement,1
Transfert conception,design_dev,Conception & développement,2
