groupe_num,referentialCode,economicRole,processName,article,band,criticalityDivergent,exactDuplicates,questionCount,questions_keys,questions_texts
1,FDA_QMSR,finished device manufacturer,UDI Label,21 CFR 801.20-57,mid,false,non,2,Q-FDA-UL-1662 | Q-FDA-UL-1365,"Montrez-moi, sur un cas réel récent, comment exigences UDI sur étiquette et exceptions applicables est appliquée en pratique et où en est la preuve. || Déroulez un cas concret concerné par exigences UDI sur étiquette et exceptions applicables : quelle décision, par qui, sur quelle preuve, avec quel contrôle d'efficacité ?"
2,FDA_QMSR,finished device manufacturer,Medical Device Reporting,21 CFR 803,mid,false,non,2,Q-FDA-MDR-9221 | Q-FDA-MDR-0336,"Sortez le dernier cas concerné par détection, évaluation et déclaration des événements à déclaration obligatoire FDA et reconstituons la chronologie : date de connaissance, décision, date d'action. Le délai a-t-il été tenu ? || Montrez-moi, sur un cas daté, comment vous respectez détection, évaluation et déclaration des événements à déclaration obligatoire FDA et prouvez-le par les dates."
3,FDA_QMSR,finished device manufacturer,Procédure MDR reporting,21 CFR 803.17,mid,false,non,2,Q-FDA-PMR-8072 | Q-FDA-PMR-2003,"Sortez le dernier cas concerné par procédures écrites de medical device reporting et enregistrements d’évaluation et reconstituons la chronologie : date de connaissance, décision, date d'action. Le délai a-t-il été tenu ? || Montrez-moi, sur un cas daté, comment vous respectez procédures écrites de medical device reporting et enregistrements d’évaluation et prouvez-le par les dates."
4,FDA_QMSR,finished device manufacturer,Corrections and removals,21 CFR 806,high,false,oui,3,Q-FDA-CR-5666 | Q-FDA-CR-7241 | Q-FDA-CR-3056,"Choisissons un danger réel concerné par rapports et enregistrements FDA des corrections et retraits visant un risque santé ou violation : déroulez son identification, son estimation, sa maîtrise et le risque résiduel retenu. || Montrez-moi comment rapports et enregistrements FDA des corrections et retraits visant un risque santé ou violation relie votre analyse de risques à une décision concrète sur le produit. || Choisissons un danger réel concerné par rapports et enregistrements FDA des corrections et retraits visant un risque santé ou violation : déroulez son identification, son estimation, sa maîtrise et le risque résiduel retenu."
5,FDA_QMSR,U.S. agent,Registration and listing,21 CFR 807,mid,false,non,2,Q-FDA-RL-9680 | Q-FDA-RL-8745,"Choisissons un document soumis à enregistrement établissement et listing des dispositifs auprès de la FDA : montrez-moi sa version en vigueur, son approbation et le retrait des versions périmées. || Montrez-moi comment vous garantissez que enregistrement établissement et listing des dispositifs auprès de la FDA est respectée sur un enregistrement récent."
6,FDA_QMSR,finished device manufacturer,Design change→submission,21 CFR 807.81(a)(3) / 814.39,mid,false,non,2,Q-FDA-DCS-2444 | Q-FDA-DCS-2147,"Ouvrons le dernier dossier de conception concerné par analyse des changements de conception ou labeling nécessitant nouvelle soumission FDA : montrez-moi la trace de bout en bout, entrées, revues, vérification, validation. || Prouvez-moi, sur un projet réel, que analyse des changements de conception ou labeling nécessitant nouvelle soumission FDA a été appliquée et vérifiée, pas seulement planifiée."
7,FDA_QMSR,finished device manufacturer,Clarification de concepts,21 CFR 820.15,mid,false,non,2,Q-FDA-CC-4802 | Q-FDA-CC-5099,"Montrez-moi, sur un cas réel récent, comment clarification des concepts FDA tels que organisation, safety/performance et exigences réglementaires est appliquée en pratique et où en est la preuve. || Déroulez un cas concret concerné par clarification des concepts FDA tels que organisation, safety/performance et exigences réglementaires : quelle décision, par qui, sur quelle preuve, avec quel contrôle d'efficacité ?"
8,FDA_QMSR,finished device manufacturer,UDI System,21 CFR 830,mid,false,non,2,Q-FDA-US-4294 | Q-FDA-US-2719,"Montrez-moi, sur un cas réel récent, comment attribution, changement, maintien et soumission GUDID des identifiants UDI est appliquée en pratique et où en est la preuve. || Déroulez un cas concret concerné par attribution, changement, maintien et soumission GUDID des identifiants UDI : quelle décision, par qui, sur quelle preuve, avec quel contrôle d'efficacité ?"
9,FDA_QMSR,finished device manufacturer,De Novo,21 CFR 860 Subpart D,low,false,non,3,Q-FDA-N-2561 | Q-FDA-N-1933 | Q-FDA-N-6492,"Pour un dossier De Novo, pourquoi cette voie a-t-elle été choisie et pourquoi aucun dispositif de comparaison adapté n'existait-il ? || Qui a validé le choix de la voie De Novo ? Montrez l'analyse des risques et les preuves utilisées pour cette décision. || Pour un dossier De Novo accepté, montrez la décision de la FDA et les contrôles particuliers que vous devez maintenant respecter."
10,FDA_QMSR,finished device manufacturer,Software/Cybersecurity,,low,true,non,3,Q-FDA-SC-6736 | Q-FDA-SC-8311 | Q-FDA-SC-4677,"Pour un dispositif connecté récent, montrez comment la cybersécurité a été prise en compte depuis la conception jusqu'à la validation, y compris la liste des composants logiciels. || Prouvez-moi, sur un projet réel, que impact logiciel/cybersécurité sur design controls, risk management, labeling et soumissions a été appliquée et vérifiée, pas seulement planifiée. || Comment surveillez-vous et corrigez-vous les failles de cybersécurité après la mise sur le marché ? Montrez-moi un exemple réel."
11,FDA_QMSR,finished device manufacturer,Complaint→MDR→CAPA,21 CFR 820.35(a) + 803 + 806,high,false,oui,3,Q-FDA-CMC-0807 | Q-FDA-CMC-1104 | Q-FDA-CMC-4738,"Prenez votre dernière action corrective. Montrez comment vous avez recherché la cause, défini et appliqué l’action, puis vérifié son efficacité. || Prenez votre dernière action corrective. Montrez comment vous avez recherché la cause, défini et appliqué l’action, puis vérifié son efficacité. || Prenez votre dernière action corrective. Montrez comment vous avez recherché la cause, défini et appliqué l’action, puis vérifié son efficacité."
12,FDA_QMSR,finished device manufacturer,Supplier/QMSR,21 CFR 820.10 (ISO 13485 7.4 IBR),low,true,non,2,Q-FDA-SQ-5662 | Q-FDA-SQ-4087,"Prenez un fournisseur critique. Comment l'avez-vous choisi, contrôlé et suivi ? Montrez les résultats les plus récents. || Déroulez un cas d'achat récent et prouvez que maîtrise fournisseurs critiques et preuves QMSR dans le système qualité incorporé ISO 13485 a été respectée avant utilisation du produit reçu."
13,ISO13485,organisme DM,Processus externalisés,,mid,false,non,2,Q-13485-PE-8433 | Q-13485-PE-0008,"Montrez-moi, sur un cas réel récent, comment maîtrise des processus externalisés influençant la conformité des dispositifs est appliquée en pratique et où en est la preuve. || Déroulez un cas concret concerné par maîtrise des processus externalisés influençant la conformité des dispositifs : quelle décision, par qui, sur quelle preuve, avec quel contrôle d'efficacité ?"
14,ISO13485,organisme DM,Revue de direction,,high,false,oui,3,Q-13485-RD-6139 | Q-13485-RD-4564 | Q-13485-RD-8627,"Choisissons un danger réel concerné par revue de direction incluant entrées réglementaires, feedback, audits, fournisseurs, risques et actions : déroulez son identification, son estimation, sa maîtrise et le risque résiduel retenu. || Montrez-moi comment revue de direction incluant entrées réglementaires, feedback, audits, fournisseurs, risques et actions relie votre analyse de risques à une décision concrète sur le produit. || Choisissons un danger réel concerné par revue de direction incluant entrées réglementaires, feedback, audits, fournisseurs, risques et actions : déroulez son identification, son estimation, sa maîtrise et le risque résiduel retenu."
15,ISO13485,organisme DM,Ressources humaines,,mid,false,non,2,Q-13485-RH-8042 | Q-13485-RH-4408,"Montrez-moi, sur un cas réel récent, comment compétence, formation, sensibilisation et traçabilité du personnel est appliquée en pratique et où en est la preuve. || Déroulez un cas concret concerné par compétence, formation, sensibilisation et traçabilité du personnel : quelle décision, par qui, sur quelle preuve, avec quel contrôle d'efficacité ?"
16,ISO13485,organisme DM,Infrastructure,,mid,false,non,2,Q-13485-I-8964 | Q-13485-I-2598,"Montrez-moi, sur un cas réel récent, comment infrastructures nécessaires pour prévenir la non-conformité du produit est appliquée en pratique et où en est la preuve. || Déroulez un cas concret concerné par infrastructures nécessaires pour prévenir la non-conformité du produit : quelle décision, par qui, sur quelle preuve, avec quel contrôle d'efficacité ?"
17,ISO13485,organisme DM,Réalisation produit,,high,false,oui,3,Q-13485-RP-6946 | Q-13485-RP-1479 | Q-13485-RP-5113,"Choisissons un danger réel concerné par planification de la réalisation produit incluant exigences qualité, risques, vérifications et enregistrements : déroulez son identification, son estimation, sa maîtrise et le risque résiduel retenu. || Montrez-moi comment planification de la réalisation produit incluant exigences qualité, risques, vérifications et enregistrements relie votre analyse de risques à une décision concrète sur le produit. || Choisissons un danger réel concerné par planification de la réalisation produit incluant exigences qualité, risques, vérifications et enregistrements : déroulez son identification, son estimation, sa maîtrise et le risque résiduel retenu."
18,ISO13485,organisme DM,Communication client,,mid,false,non,2,Q-13485-CC-8673 | Q-13485-CC-6577,"Montrez-moi, sur un cas réel récent, comment communication client incluant informations produit, contrats, feedback et réclamations est appliquée en pratique et où en est la preuve. || Déroulez un cas concret concerné par communication client incluant informations produit, contrats, feedback et réclamations : quelle décision, par qui, sur quelle preuve, avec quel contrôle d'efficacité ?"
19,ISO13485,organisme DM,Dossier conception,,mid,false,non,2,Q-13485-DC-8776 | Q-13485-DC-9073,"Ouvrons le dernier dossier de conception concerné par dossier de conception maintenu pour démontrer la conformité : montrez-moi la trace de bout en bout, entrées, revues, vérification, validation. || Prouvez-moi, sur un projet réel, que dossier de conception maintenu pour démontrer la conformité a été appliquée et vérifiée, pas seulement planifiée."
20,ISO13485,organisme DM,Planification conception,,mid,false,non,2,Q-13485-PC-5493 | Q-13485-PC-9127,"Ouvrons le dernier dossier de conception concerné par planification de la conception avec étapes, revues, interfaces et responsabilités : montrez-moi la trace de bout en bout, entrées, revues, vérification, validation. || Prouvez-moi, sur un projet réel, que planification de la conception avec étapes, revues, interfaces et responsabilités a été appliquée et vérifiée, pas seulement planifiée."
21,ISO13485,organisme DM,Entrées conception,,mid,false,non,2,Q-13485-EC-3453 | Q-13485-EC-4972,"Ouvrons le dernier dossier de conception concerné par entrées conception complètes, vérifiables, incluant exigences fonctionnelles, performance, sécurité, réglementation : montrez-moi la trace de bout en bout, entrées, revues, vérification, validation. || Prouvez-moi, sur un projet réel, que entrées conception complètes, vérifiables, incluant exigences fonctionnelles, performance, sécurité, réglementation a été appliquée et vérifiée, pas seulement planifiée."
22,ISO13485,organisme DM,Sorties conception,,mid,false,non,2,Q-13485-SC-8394 | Q-13485-SC-4797,"Ouvrons le dernier dossier de conception concerné par sorties conception approuvées permettant vérification et fournissant critères d’acceptation : montrez-moi la trace de bout en bout, entrées, revues, vérification, validation. || Prouvez-moi, sur un projet réel, que sorties conception approuvées permettant vérification et fournissant critères d’acceptation a été appliquée et vérifiée, pas seulement planifiée."
23,ISO13485,organisme DM,Revues conception,,low,false,non,2,Q-13485-RC-6014 | Q-13485-RC-1108,"Ouvrons le dernier dossier de conception concerné par revues systématiques de conception aux étapes appropriées : montrez-moi la trace de bout en bout, entrées, revues, vérification, validation. || Prouvez-moi, sur un projet réel, que revues systématiques de conception aux étapes appropriées a été appliquée et vérifiée, pas seulement planifiée."
24,ISO13485,organisme DM,Vérification conception,,low,false,non,2,Q-13485-VC-0493 | Q-13485-VC-2698,"Ouvrons le dernier dossier de conception concerné par vérification démontrant que les sorties répondent aux entrées : montrez-moi la trace de bout en bout, entrées, revues, vérification, validation. || Prouvez-moi, sur un projet réel, que vérification démontrant que les sorties répondent aux entrées a été appliquée et vérifiée, pas seulement planifiée."
25,ISO13485,organisme DM,Validation conception,,high,false,oui,3,Q-13485-VC-9155 | Q-13485-VC-7580 | Q-13485-VC-1214,"Ouvrons le dernier dossier de conception concerné par validation démontrant que le dispositif répond à l’usage prévu et aux besoins utilisateur : montrez-moi la trace de bout en bout, entrées, revues, vérification, validation. || Prouvez-moi, sur un projet réel, que validation démontrant que le dispositif répond à l’usage prévu et aux besoins utilisateur a été appliquée et vérifiée, pas seulement planifiée. || Ouvrons le dernier dossier de conception concerné par validation démontrant que le dispositif répond à l’usage prévu et aux besoins utilisateur : montrez-moi la trace de bout en bout, entrées, revues, vérification, validation."
26,ISO13485,organisme DM,Transfert conception,,mid,false,non,2,Q-13485-TC-1099 | Q-13485-TC-4733,"Ouvrons le dernier dossier de conception concerné par transfert de conception vers production maîtrisé et vérifié : montrez-moi la trace de bout en bout, entrées, revues, vérification, validation. || Prouvez-moi, sur un projet réel, que transfert de conception vers production maîtrisé et vérifié a été appliquée et vérifiée, pas seulement planifiée."
27,ISO13485,organisme DM,Modifications conception,,low,false,non,2,Q-13485-MC-1581 | Q-13485-MC-7947,"Ouvrons le dernier dossier de conception concerné par maîtrise des modifications de conception et analyse d’impact : montrez-moi la trace de bout en bout, entrées, revues, vérification, validation. || Prouvez-moi, sur un projet réel, que maîtrise des modifications de conception et analyse d’impact a été appliquée et vérifiée, pas seulement planifiée."
28,ISO13485,organisme DM,Achats,,mid,true,non,2,Q-13485-A-1074 | Q-13485-A-4176,"Prenez un fournisseur critique : montrez-moi comment processus d’achat fondé sur l’impact fournisseur sur la conformité produit est appliquée, de la sélection à la surveillance des performances. || Déroulez un cas d'achat récent et prouvez que processus d’achat fondé sur l’impact fournisseur sur la conformité produit a été respectée avant utilisation du produit reçu."
29,ISO13485,organisme DM,Informations d’achat,,mid,false,non,2,Q-13485-IDA-1734 | Q-13485-IDA-1457,"Prenez un fournisseur critique : montrez-moi comment exigences d’achat documentées, incluant critères produit, procédures, qualification et QMS fournisseur est appliquée, de la sélection à la surveillance des performances. || Déroulez un cas d'achat récent et prouvez que exigences d’achat documentées, incluant critères produit, procédures, qualification et QMS fournisseur a été respectée avant utilisation du produit reçu."
30,ISO13485,organisme DM,Propriété client,,low,true,non,2,Q-13485-PC-2325 | Q-13485-PC-2169,"Prenez un fournisseur critique : montrez-moi comment maîtrise de la propriété client ou fournisseur externe est appliquée, de la sélection à la surveillance des performances. || Déroulez un cas d'achat récent et prouvez que maîtrise de la propriété client ou fournisseur externe a été respectée avant utilisation du produit reçu."
31,ISO13485,organisme DM,Préservation produit,,mid,true,non,2,Q-13485-PP-6329 | Q-13485-PP-6862,"Montrez-moi, sur un cas réel récent, comment préservation de la conformité durant traitement, stockage, manutention et livraison est appliquée en pratique et où en est la preuve. || Déroulez un cas concret concerné par préservation de la conformité durant traitement, stockage, manutention et livraison : quelle décision, par qui, sur quelle preuve, avec quel contrôle d'efficacité ?"
32,ISO13485,organisme DM,Dispositifs stériles,,low,true,non,3,Q-13485-DS-9110 | Q-13485-DS-6140 | Q-13485-DS-7051,"Montrez-moi, sur un cas réel récent, comment exigences spécifiques aux dispositifs stériles et barrières stériles est appliquée en pratique et où en est la preuve. || Déroulez un cas concret concerné par exigences spécifiques aux dispositifs stériles et barrières stériles : quelle décision, par qui, sur quelle preuve, avec quel contrôle d'efficacité ? || Prouvez-moi, sur un exemple de votre choix des trois derniers mois, que exigences spécifiques aux dispositifs stériles et barrières stériles est réellement mise en œuvre et pas seulement documentée."
33,ISO13485,organisme DM,Validation procédés,,low,false,non,3,Q-13485-VP-0054 | Q-13485-VP-0351 | Q-13485-VP-6015,"Sortez votre cartographie des procédés de production : pour chacun, montrez-moi la décision documentée « vérifiable a posteriori » ou « à valider », avec son raisonnement. Puis prenons un procédé que vous n'avez PAS validé : démontrez-moi que sa sortie est réellement et intégralement vérifiée par la surveillance ou la mesure — à 100 %, pas par échantillonnage — sinon la décision de non-validation ne tient pas. Enfin, sur un procédé validé : justifiez statistiquement les tailles d'échantillons de votre PQ. || Déroulez la fabrication d'un lot et prouvez que validation des procédés dont les résultats ne peuvent pas être pleinement vérifiés a posteriori a été respectée et enregistrée. || Prenez un procédé validé il y a plus de deux ans : montrez-moi d'abord la liste des changements survenus depuis (équipement, paramètres, matière, fournisseur, local, logiciel) et, pour chacun, la décision revalidation/non-revalidation avec son raisonnement. Puis montrez-moi la surveillance continue qui démontre que le procédé est RESTÉ dans son état validé : quelles dérives auraient déclenché une revalidation, et où sont les données ?"
34,ISO13485,organisme DM,Validation stérilisation,,high,false,oui,3,Q-13485-VS-8190 | Q-13485-VS-5001 | Q-13485-VS-3424,"Prenez un dossier de lot récent : montrez-moi comment validation des procédés de stérilisation et systèmes barrières stériles est appliquée au poste, pas seulement décrite dans une procédure. || Déroulez la fabrication d'un lot et prouvez que validation des procédés de stérilisation et systèmes barrières stériles a été respectée et enregistrée. || Prenez un dossier de lot récent : montrez-moi comment validation des procédés de stérilisation et systèmes barrières stériles est appliquée au poste, pas seulement décrite dans une procédure."
